ResultIdentifier,ResultMeasureValue,UOM,Characteristic,CharacteristicURI,ActivityIdentifier,ActivityDateTime,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,Latitude,Longitude,SampleCollectionMethod,ResultSampleFractionText,ResultValueTypeName,ResultCommentText,DepthMeasure,ResultAnalyticalMethod,MethodName,LastUpdated
STORET-928563185,1.1,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36951.CHEM,2001-05-23T05:25:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49393,32.4465519,-111.0912672,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:21
STORET-928563187,1.1,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36951.CHEM,2001-05-23T05:25:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49393,32.4465519,-111.0912672,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:21
STORET-928562939,1.4,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36913.CHEM,2001-05-23T12:01:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49392,31.5735403,-111.505915,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:17
STORET-928562941,1.4,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36913.CHEM,2001-05-23T12:01:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49392,31.5735403,-111.505915,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:17
STORET-928563267,0.63,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36956.CHEM,2001-05-23T09:55:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49391,31.8211322,-111.5317244,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:21
STORET-928563269,0.63,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36956.CHEM,2001-05-23T09:55:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49391,31.8211322,-111.5317244,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:21
STORET-928562776,4.8,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36901.CHEM,2001-05-30T11:01:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49389,32.4028419,-111.2182264,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:15
STORET-928562777,4.8,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36901.CHEM,2001-05-30T11:01:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49389,32.4028419,-111.2182264,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:15
STORET-928563023,1.8,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36918.CHEM,2001-05-22T11:05:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49388,32.2999722,-111.2604111,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:18
STORET-928563024,1.8,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36918.CHEM,2001-05-22T11:05:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49388,32.2999722,-111.2604111,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:18
STORET-928562984,1.8,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36917.CHEM,2001-05-22T11:00:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49388,32.2999722,-111.2604111,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:18
STORET-928562982,1.8,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36917.CHEM,2001-05-22T11:00:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49388,32.2999722,-111.2604111,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:18
STORET-928563308,2.2,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36959.CHEM,2001-05-10T06:16:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49339,31.7627903,-111.2808494,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:22
STORET-928563310,2.2,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36959.CHEM,2001-05-10T06:16:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49339,31.7627903,-111.2808494,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:22
STORET-928563351,1.3,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36961.CHEM,2001-05-10T10:56:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49338,31.7,-111.5729647,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:22
STORET-928563349,1.3,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36961.CHEM,2001-05-10T10:56:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49338,31.7,-111.5729647,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:22
STORET-928563064,0.49,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36943.CHEM,2001-05-09T04:05:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49337,31.6015908,-111.6248889,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:19
STORET-928563066,0.49,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36943.CHEM,2001-05-09T04:05:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49337,31.6015908,-111.6248889,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:19
STORET-928561361,2.1,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36799.CHEM,2001-05-09T01:41:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49336,31.9256286,-111.5043453,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:54:56
STORET-928561363,2.1,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36799.CHEM,2001-05-09T01:41:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49336,31.9256286,-111.5043453,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:54:56
STORET-928562600,4.8,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36891.CHEM,2001-05-09T10:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49335,31.9385825,-111.3881067,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:13
STORET-928562602,4.8,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36891.CHEM,2001-05-09T10:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49335,31.9385825,-111.3881067,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:13
STORET-928562561,1.7,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36889.CHEM,2001-05-09T09:20:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49334,32.0140969,-111.3335478,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:13
STORET-928562518,1.7,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36888.CHEM,2001-05-09T09:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49334,32.0140969,-111.3335478,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:12
STORET-928562559,1.7,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36889.CHEM,2001-05-09T09:20:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49334,32.0140969,-111.3335478,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:13
STORET-928562520,1.7,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36888.CHEM,2001-05-09T09:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49334,32.0140969,-111.3335478,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:12
STORET-928560058,1.4,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36713.CHEM,2001-04-19T11:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49251,32.2308444,-111.2820528,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:54:37
STORET-928560059,1.4,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36713.CHEM,2001-04-19T11:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49251,32.2308444,-111.2820528,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:54:37
STORET-928560336,0.083,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36732.CHEM,2001-04-18T03:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49250,31.7554944,-111.5177639,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:54:42
STORET-928560260,0.11,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36730.CHEM,2001-04-18T03:00:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49250,31.7554944,-111.5177639,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:54:41
STORET-928560335,0.083,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36732.CHEM,2001-04-18T03:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49250,31.7554944,-111.5177639,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:54:42
STORET-928560261,0.11,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36730.CHEM,2001-04-18T03:00:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49250,31.7554944,-111.5177639,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:54:41
STORET-928560218,0.11,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36726.CHEM,2001-04-18T01:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49249,31.6577278,-111.2676481,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:54:40
STORET-928560217,0.11,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36726.CHEM,2001-04-18T01:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49249,31.6577278,-111.2676481,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:54:40
STORET-928560637,0.9,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36747.CHEM,2001-02-28T03:31:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49173,31.5233475,-111.3825939,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:54:46
STORET-928560638,0.9,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36747.CHEM,2001-02-28T03:31:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49173,31.5233475,-111.3825939,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:54:46
STORET-928561405,0.082,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36803.CHEM,2001-02-28T11:46:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49171,31.5451944,-111.2085144,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:54:57
STORET-928561404,0.082,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36803.CHEM,2001-02-28T11:46:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49171,31.5451944,-111.2085144,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:54:57
STORET-928560721,1.5,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36754.CHEM,2001-02-28T09:31:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49170,31.5933058,-111.3207247,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:54:48
STORET-928560722,1.5,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36754.CHEM,2001-02-28T09:31:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49170,31.5933058,-111.3207247,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:54:48
STORET-928561007,0.28,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36776.CHEM,2001-01-31T01:41:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49167,31.8247917,-110.7548856,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:54:51
STORET-928562897,3.1,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36909.CHEM,2001-05-23T02:30:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-28611,31.7782661,-111.4046231,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:17
STORET-928562899,3.1,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36909.CHEM,2001-05-23T02:30:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-28611,31.7782661,-111.4046231,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:17
STORET-928562737,9.8,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36898.CHEM,2001-05-30T12:20:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-23333,32.4395556,-111.2711389,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:15
STORET-928562738,9.8,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-36898.CHEM,2001-05-30T12:20:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-23333,32.4395556,-111.2711389,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T16:55:15
STORET-928607754,4.3,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-88212.CHEM,2006-03-15T11:01:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-23286,32.4487703,-111.7271492,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T17:04:30
STORET-928630178,4.4,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-157038.CHEM,2017-01-10T02:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-16652,31.8813481,-112.8159492,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T17:08:12
STORET-928630216,4.4,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-157039.CHEM,2017-01-10T02:30:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-16652,31.8813481,-112.8159492,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T17:08:13
STORET-928630134,2.5,mg/l,Nitrate + Nitrite,ex:property/nitratenitrite,AZDEQ_GW-GW-157037.CHEM,2017-01-09T03:30:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-16641,31.9444444,-113.0183333,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 300.0,EPA 300.0,2022-01-20T17:08:12
NWIS-96936146,2.53,mg/l,Nitrate + Nitrite as N,ex:property/nitratenitriteasn,nwisaz.01.01300400,2013-07-25T09:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-322549111191601,32.4303,-111.3211,ID:4045; context:USGS parameter code 82398; Name:Submersible multiple impeller (turbine) pump; Equipment:Line-shaft turbine pump,Dissolved,Actual,"Report level code updated Oct., Nov. 2015. Reference: NWQL Rapi-Note 2011-21 (RLC: IRL => LT-MDL)",,USGS:RED01,"NO3+NO2, wf, FCC,NaR, DA",
NWIS-47324266,6.54,mg/l,Nitrate + Nitrite as N,ex:property/nitratenitriteasn,nwisaz.01.00000515,2000-07-17T10:00:00-07:00,,Ariz. Dept. of Water Resources,USGS-322530111110001,32.425,-111.1833,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:CL048,"Nutrients, wf, Cd reduct, color",
NWIS-47338814,7.1,mg/l,Nitrate + Nitrite as N,ex:property/nitratenitriteasn,nwisaz.01.00100325,2001-04-16T12:45:00-07:00,,Ariz. Dept. of Water Resources,USGS-322530111110001,32.425,-111.1833,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:CL048,"Nutrients, wf, Cd reduct, color",
NWIS-47364335,6.5,mg/l,Nitrate + Nitrite as N,ex:property/nitratenitriteasn,nwisaz.01.00200316,2002-05-06T10:15:00-07:00,,Ariz. Dept. of Water Resources,USGS-322530111110001,32.425,-111.1833,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:CL048,"Nutrients, wf, Cd reduct, color",
NWIS-47324301,1.8,mg/l,Nitrate + Nitrite as N,ex:property/nitratenitriteasn,nwisaz.01.00000516,2000-07-21T09:30:00-07:00,,Ariz. Dept. of Water Resources,USGS-322528110563301,32.4244,-110.9425,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:CL048,"Nutrients, wf, Cd reduct, color",
NWIS-47338852,2,mg/l,Nitrate + Nitrite as N,ex:property/nitratenitriteasn,nwisaz.01.00100326,2001-04-16T10:30:00-07:00,,Ariz. Dept. of Water Resources,USGS-322528110563301,32.4244,-110.9425,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:CL048,"Nutrients, wf, Cd reduct, color",
NWIS-47324336,3.38,mg/l,Nitrate + Nitrite as N,ex:property/nitratenitriteasn,nwisaz.01.00000517,2000-07-21T11:00:00-07:00,,Ariz. Dept. of Water Resources,USGS-322252111065001,32.3811,-111.1139,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:CL048,"Nutrients, wf, Cd reduct, color",
NWIS-47338890,3.7,mg/l,Nitrate + Nitrite as N,ex:property/nitratenitriteasn,nwisaz.01.00100327,2001-04-16T14:00:00-07:00,,Ariz. Dept. of Water Resources,USGS-322252111065001,32.3811,-111.1139,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:CL048,"Nutrients, wf, Cd reduct, color",
NWIS-47364374,2.7,mg/l,Nitrate + Nitrite as N,ex:property/nitratenitriteasn,nwisaz.01.00200317,2002-05-07T09:30:00-07:00,,Ariz. Dept. of Water Resources,USGS-322252111065001,32.3811,-111.1139,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:CL048,"Nutrients, wf, Cd reduct, color",
